City_ID,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,WindSpeed
373,chumikan,0,RU,1584240478,73,54.72,135.31,14.14,14.07
374,bonthe,36,SL,1584240479,89,7.53,-12.51,79.59,3.27
375,port-gentil,97,GA,1584240480,77,-0.72,8.78,82.94,7.87
376,plettenberg bay,98,ZA,1584240481,83,-34.05,23.37,65.88,6.49
377,san blas,66,MX,1584240307,69,21.52,-105.27,75.63,8.01
378,pevek,100,RU,1584240483,67,69.7,170.31,7.63,8.12
379,genhe,0,CN,1584240484,53,50.78,121.52,12.83,4.54
380,charters towers,0,AU,1584240485,35,-20.1,146.27,85.17,11.83
381,orocue,43,CO,1584240488,53,4.79,-71.34,85.23,1.63
382,provideniya,87,RU,1584240049,86,64.38,-173.3,20.64,10.65
